date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:36:53	12800/12800	---M-Z	200	added ('OK')	text/css	etag:%223200-5e2b6cf288cdc-gzip%22	https://www.dominos.co.in/great-deals/online-pizza-coupons/css/Media-Querry.css	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/great-deals/online-pizza-coupons/css/Media-Querry.css	(from https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-wednesday-offers)
10:36:53	5595/5595	---M-Z	200	added ('OK')	text/css	etag:%2215db-5e2b6cf289c7c-gzip%22	https://www.dominos.co.in/great-deals/online-pizza-coupons/css/coupon-details.css	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/great-deals/online-pizza-coupons/css/coupon-details.css	(from https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-wednesday-offers)
10:36:53	113898/113898	---M-Z	200	added ('OK')	text/html	date:Wed,%2007%20Aug%202024%2005:06:56%20GMT	https://www.dominos.co.in/great-deals/online-pizza-coupons/css/single-page-coupon-details.css	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/great-deals/online-pizza-coupons/css/single-page-coupon-details.html	(from https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-wednesday-offers)
10:36:54	4714/4714	---M-Z	200	added ('OK')	text/css	etag:%22126a-5e2b6cf2a80d8-gzip%22	https://www.dominos.co.in/great-deals/online-pizza-coupons/skins/default.css	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/great-deals/online-pizza-coupons/skins/default.css	(from https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-wednesday-offers)
10:36:54	113899/113899	---M-Z	200	added ('OK')	text/html	date:Wed,%2007%20Aug%202024%2005:06:56%20GMT	https://www.dominos.co.in/great-deals/online-pizza-coupons/bodybg/bg1.css	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/great-deals/online-pizza-coupons/bodybg/bg1.html	(from https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-wednesday-offers)
10:36:54	233/233	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2007%20Aug%202024%2005:06:57%20GMT	https://www.dominos.co.in/home	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/home	(from https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-wednesday-offers)
10:36:55	233/233	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2007%20Aug%202024%2005:06:57%20GMT	https://www.dominos.co.in/home	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/home	(from https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-wednesday-offers)
10:36:55	266/266	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2007%20Aug%202024%2005:06:57%20GMT	https://www.dominos.co.in/great-deals/online-pizza-coupons	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/great-deals/online-pizza-coupons	(from https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-wednesday-offers)
10:36:55	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2007%20Aug%202024%2005:06:58%20GMT	https://www.dominos.co.in/about-us	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/about-us	(from https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-wednesday-offers)
10:36:55	233/233	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2007%20Aug%202024%2005:06:58%20GMT	https://www.dominos.co.in/home	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/home	(from https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-wednesday-offers)
10:36:55	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2007%20Aug%202024%2005:06:58%20GMT	https://www.dominos.co.in/about-us	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/about-us	(from https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-wednesday-offers)
10:36:56	24334/24334	---M--	200	added ('OK')	image/jpeg	etag:%225f0e-5e2b6cf2957fb%22	https://www.dominos.co.in/great-deals/online-pizza-coupons/images/story_images/evd/pizza-1.jpg	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/great-deals/online-pizza-coupons/images/story_images/evd/pizza-1.jpg	(from https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-wednesday-offers)
10:36:56	24835/24835	---M--	200	added ('OK')	image/jpeg	etag:%226103-5e2b6cf2957fb%22	https://www.dominos.co.in/great-deals/online-pizza-coupons/images/story_images/evd/pizza-2.jpg	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/great-deals/online-pizza-coupons/images/story_images/evd/pizza-2.jpg	(from https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-wednesday-offers)
10:36:56	24520/24520	---M--	200	added ('OK')	image/jpeg	etag:%225fc8-5e2b6cf2957fb%22	https://www.dominos.co.in/great-deals/online-pizza-coupons/images/story_images/evd/pizza-3.jpg	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/great-deals/online-pizza-coupons/images/story_images/evd/pizza-3.jpg	(from https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-wednesday-offers)
10:36:56	25054/25054	---M--	200	added ('OK')	image/jpeg	etag:%2261de-5e2b6cf2957fb%22	https://www.dominos.co.in/great-deals/online-pizza-coupons/images/story_images/evd/pizza-4.jpg	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/great-deals/online-pizza-coupons/images/story_images/evd/pizza-4.jpg	(from https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-wednesday-offers)
10:36:57	101953/101953	---M-Z	200	added ('OK')	text/html	date:Wed,%2007%20Aug%202024%2005:06:59%20GMT	https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-sunday-offers	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/great-deals/online-pizza-coupons/dominos-sunday-offers.html	(from https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-wednesday-offers)
10:36:57	101923/101923	---M-Z	200	added ('OK')	text/html	date:Wed,%2007%20Aug%202024%2005:07:00%20GMT	https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-monday-offers	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/great-deals/online-pizza-coupons/dominos-monday-offers.html	(from https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-wednesday-offers)
10:36:57	101928/101928	---M-Z	200	added ('OK')	text/html	date:Wed,%2007%20Aug%202024%2005:07:00%20GMT	https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-tuesday-offers	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/great-deals/online-pizza-coupons/dominos-tuesday-offers.html	(from https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-wednesday-offers)
10:36:58	101933/101933	---M-Z	200	added ('OK')	text/html	date:Wed,%2007%20Aug%202024%2005:07:00%20GMT	https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-thursday-offers	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/great-deals/online-pizza-coupons/dominos-thursday-offers.html	(from https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-wednesday-offers)
10:36:58	101923/101923	---M-Z	200	added ('OK')	text/html	date:Wed,%2007%20Aug%202024%2005:07:01%20GMT	https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-friday-offers	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/great-deals/online-pizza-coupons/dominos-friday-offers.html	(from https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-wednesday-offers)
10:36:58	101963/101963	---M-Z	200	added ('OK')	text/html	date:Wed,%2007%20Aug%202024%2005:07:01%20GMT	https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-saturday-offers	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/great-deals/online-pizza-coupons/dominos-saturday-offers.html	(from https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-wednesday-offers)
10:36:59	101953/101953	---M-Z	200	added ('OK')	text/html	date:Wed,%2007%20Aug%202024%2005:07:01%20GMT	https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-ahmedabad-offers	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/great-deals/online-pizza-coupons/dominos-ahmedabad-offers.html	(from https://www.dominos.co.in/great-deals/online-pizza-coupons/dominos-wednesday-offers)
